scenario_success_rate,threshold,customers_targeted,true_positives,false_positives,false_negatives,true_negatives,campaign_cost,successful_retentions_est,gross_retained_value,net_value
0.2,0.3,782,341,441,33,594,391000,68.2,341000.0,-50000.0
0.2,0.4,681,326,355,48,680,340500,65.2,326000.0,-14500.0
0.2,0.5,574,298,276,76,759,287000,59.6,298000.0,11000.0
0.2,0.6,480,269,211,105,824,240000,53.8,269000.0,29000.0
0.2,0.7,361,223,138,151,897,180500,44.6,223000.0,42500.0
0.35,0.3,782,341,441,33,594,391000,119.35,596750.0,205750.0
0.35,0.4,681,326,355,48,680,340500,114.1,570500.0,230000.0
0.35,0.5,574,298,276,76,759,287000,104.3,521500.0,234500.0
0.35,0.6,480,269,211,105,824,240000,94.15,470750.0,230750.0
0.35,0.7,361,223,138,151,897,180500,78.05,390250.0,209750.0
0.5,0.3,782,341,441,33,594,391000,170.5,852500.0,461500.0
0.5,0.4,681,326,355,48,680,340500,163.0,815000.0,474500.0
0.5,0.5,574,298,276,76,759,287000,149.0,745000.0,458000.0
0.5,0.6,480,269,211,105,824,240000,134.5,672500.0,432500.0
0.5,0.7,361,223,138,151,897,180500,111.5,557500.0,377000.0
